C00029	00040 00052 00053 00240 00500 00520 00561 00908 01051 01060 01100 01110
C00031	00010 00030 00052 00500 00520 00521 00524 00901 01100 01110 02010 02020 02060 04066 04068 04113 04152 04910 04911 04917 04930 04932 04973 04976 04978
C00032	00860 01060 01100 01110 02010 04978
C00033	00010 00430 00440 00534 00620 00640 00660 00680 00720 00908 00920 01100 01110 01120 01200 01220 04725 04973 04974
C00034	00195 01100 02010 02020
C00035	00230 01100 03013 04014 04015 04144
C00036	00010 00020 00250 00362 00620 00630 00680 00710 00720 01060 01061 01062 01063 01064 01065 01066 01070 01100 01110 01120 01200 01210 01230 02020 04964
C00037	00120 00230 00260 00310 00460 00480 00630 00680 00730 00860 00970 01060 01100 01110 01120 01200 01230 02010 04080 04721 04974 04978
C00038	02010 02020 04978
C00039	00230 00240 00312 01100
C00040	00062 00561 00564 01110 04152 04920 04975
C00041	00250 00270 00430 00450 00473 00710 00970 01060 01100 01120 01200 01230 02010 04122 04974 04978
C00042	00020 00190 00250 00350 00360 00361 00620 00630 00640 00650 00720 00920 01060 01061 01062 01063 01064 01065 01066 01070 01100 01110 01120 01200 01220 02020 04024 04727
C00043	00520 00524 00540 00550 01100 01110
C00044	00230 00740 00790 01100 03013 04014 04015 04122 04144
C00045	02010
C00046	00230 00240 01100
C00047	00300 00310 00780 00960 00970 01060 01064 01100 01110 01120 01210 01230 02010 04974
C00048	00230 00232 00260 00330 00625 00630 00660 00680 00720 01100 01110 01120 01200
C00049	00250 00260 00270 00300 00330 00340 00410 00460 00710 00760 00770 00970 01060 01064 01070 01100 01110 01120 01200 01210 01230 02010 02020 02030 04080 04974
C00051	00270 00480 01100 02010 04918 04976
C00052	00052 00520 01100 01110
C00053	00230 00532 00534 00920 01100 01120
C00054	00230 00532 00534 00770 00920
C00055	00240 01100
C00058	00620 00625 00630 00680 00720 00910 01100 01120 01200 01220
C00059	00230 00270 00920 01100 01120 02010
C00060	01100
C00061	00190 00524 00740 01057 01100 04977
C00062	00330 00331 00472 00970 01060 01064 01100 01110 01230 02010 04974 05014 05132 05142 05146
C00063	00240 01100
C00064	00230 00240 00250 00330 00471 00630 00910 00970 01060 01100 01120 01230 02010 02020 04724 04727 04964 04974 04978
C00065	00260 00270 00460 00600 00630 00680 00920 00970 01060 01100 01110 01120 01200 01230 02010 04974 04978
C00066	00908
C00067	00625 00680 01100 01120 01200
C00068	00010 00020 00280 00620 00730 01100 04977
C00070	02020 04978 05010 05014
C00071	00071
C00072	00053 00480 01100 01110 01120 02060 04066 04977
C00073	00270 00966 00970 01060 01070 01100 01110 01210 01230 04974 04978
C00074	00010 00020 00400 00440 00620 00680 00710 00720 01060 01061 01062 01063 01070 01100 01110 01120 01200 01230 02060 04964
C00075	00240 01100 04080
C00076	04010 04012 04014 04015 04020 04022 04024 04062 04064 04066 04070 04114 04141 04152 04260 04261 04270 04310 04360 04370 04380 04540 04611 04626 04650 04660 04662 04664 04666 04670 04710 04713 04720 04721 04722 04723 04724 04725 04726 04727 04728 04730 04740 04742 04744 04745 04750 04911 04912 04915 04916 04918 04919 04921 04930 04961 04970 04971 04972 04973 04974 04978 05010 05014 05016 05031 05032 05033 05034 05133 05140 05142 05143 05145 05146 05152 05160 05166 05169 05200 05214 05223 05410 05412 05414
C00077	00330 00472 00480 01060 01064 01100 01110 01210 01230 02010
C00078	00260 00380 00400 00901 00966 00970 01060 01061 01063 01070 01100 01110 01210 01230 04726 04974 04978 05143
C00079	00360 00400 00460 00940 00960 00966 00970 01060 01061 01063 01064 01070 01100 01110 01210 01230 02010 04974 04978
C00080	00190 00195 01100 04024 04260 04261 04721 04742 04750 04919 04964 04966 04970 04971 04972 04974 04976 04977 04978 05110 05120 05164 05323
C00081	00230
C00082	00130 00231 00350 00360 00400 00401 00460 00730 00940 00950 00965 00966 00970 01055 01060 01063 01100 01110 01210 01230 04728 04916 04917 04974 05012 05030 05031 05034
C00083	00061 00062 00253 00254 00360 00410 00522 00620 00640 00720 01055 01056 01060 01066 01070 01100 01110 01120 01200 01212 04152 04920
